User_ID,Product_ID,Gender,Age,Purchase
1002335,P00246142,M,51-55,15912
1002340,P00128942,M,36-45,19158
1002344,P00355142,M,26-35,12013
1002346,P00120042,F,0-17,15289
1002376,P00036742,M,26-35,3929
1002455,P00346342,M,36-45,3952
1002456,P00046142,M,26-35,11770
1002468,P00145042,M,51-55,18959
1002473,P00006942,M,26-35,15853
1002478,P00112542,M,51-55,15176
1002506,P00102942,F,26-35,4382
1002522,P00080342,M,18-25,19309
1002528,P00173342,M,55+,15426
1002529,P00182242,F,36-45,19692
1002590,P00059742,M,18-25,4438
1002608,P00118642,F,26-35,15750
1002645,P00270942,M,26-35,15410
1002679,P00140742,F,18-25,15908
1002735,P00334242,M,26-35,19428
1002752,P00113342,M,26-35,19691
1002757,P00110942,M,26-35,19635
1002768,P00028042,M,26-35,12023
1002771,P00122442,M,18-25,4406
1002774,P00111142,M,26-35,11674
1002786,P00274042,M,26-35,15603
1002787,P00113242,M,26-35,19280
1002790,P00346242,M,26-35,19525
1002809,P00221842,M,26-35,19500
1002820,P00145042,F,36-45,7965
1002847,P00243942,M,18-25,15293
1002860,P00334642,M,36-45,8291
1002880,P00240242,M,18-25,7594
1002907,P00035942,F,36-45,11498
1002909,P00274242,M,26-35,19660
1002911,P00249542,F,26-35,15540
1002929,P00122442,M,18-25,11700
1002962,P00334242,M,36-45,11828
1002966,P00057942,F,26-35,18998
1002967,P00332242,M,26-35,8046
1002968,P00028442,F,18-25,15510
1002970,P00351142,M,18-25,15207
1002974,P00025442,M,18-25,19589
1002995,P00173842,M,26-35,15570
1003004,P00128942,F,18-25,8051
1003005,P00112542,M,26-35,19292
1003010,P00112142,M,26-35,11818
1003024,P00057942,M,36-45,12037
1003029,P00046742,M,18-25,19172
1003030,P00221842,M,36-45,8184
1003031,P00125942,M,18-25,12097
1003041,P00355142,M,26-35,15763
1003047,P00177442,F,26-35,15503
1003065,P00034042,F,18-25,11657
1003066,P00334242,M,18-25,15582
1003067,P00249542,F,26-35,11989
1003071,P00080342,M,26-35,19246
1003112,P00110842,M,18-25,19076
1003125,P00025442,M,26-35,15846
1003155,P00110942,M,26-35,19472
1003172,P00270942,M,18-25,11899
1003175,P00334242,M,36-45,11682
1003189,P00128942,M,26-35,15517
1003198,P00209742,M,26-35,19413
1003202,P00157642,F,18-25,15488
1003207,P00237542,M,36-45,19493
1003212,P00025442,F,26-35,8283
1003217,P00042142,F,36-45,11698
1003227,P00244042,F,26-35,15656
1003230,P0097242,M,36-45,18968
1003233,P00080342,M,51-55,19590
1003259,P00253142,F,18-25,15570
1003263,P00112142,M,51-55,15588
1003265,P00303342,M,26-35,8033
1003266,P00128942,F,26-35,19105
1003290,P00237242,M,26-35,7738
1003297,P00237542,M,18-25,19061
1003311,P00057942,M,26-35,15691
1003312,P00142942,F,18-25,11745
1003313,P00352942,M,36-45,15340
1003321,P00221742,M,36-45,11801
1003337,P00289842,M,26-35,15350
1003353,P00173742,M,36-45,15399
1003360,P00130742,F,26-35,12093
1003371,P00114942,M,26-35,3949
1003378,P00111142,M,18-25,15825
1003382,P00332242,F,0-17,15906
1003389,P00355142,M,18-25,15821
1003391,P00304342,M,18-25,19052
1003395,P00016842,M,26-35,15733
1003404,P00241642,M,26-35,15559
1003411,P00338442,M,18-25,3934
1003420,P00248942,F,26-35,19144
1003425,P00010742,M,18-25,19046
1003433,P00127942,M,18-25,11832
1003441,P00169742,F,26-35,11839
1003471,P00111142,M,18-25,19550
1003475,P00255942,M,26-35,11905
1003486,P00113142,F,18-25,15378
1003497,P00112142,F,36-45,19655
1003499,P00270542,M,26-35,15404
1003507,P00112542,M,26-35,15611
1003509,P00140742,M,18-25,11753
1003512,P00173842,M,18-25,12013
1003518,P00173342,F,18-25,15203
1003547,P00073842,M,36-45,3925
1003558,P00147942,M,18-25,19206
1003563,P00112142,M,26-35,19059
1003590,P0097242,F,18-25,19597
1003598,P00108342,M,55+,4378
1003605,P00048042,M,18-25,19657
1003620,P00332242,M,26-35,11962
1003650,P00127242,M,26-35,19060
1003651,P00277442,M,26-35,19376
1003664,P00193542,F,36-45,15515
1003665,P00080342,M,26-35,15652
1003669,P00147742,M,26-35,11945
1003671,P00025442,M,26-35,19466
1003678,P00016842,M,26-35,15556
1003679,P00144642,M,26-35,15176
1003695,P00304242,M,26-35,15588
1003729,P00110842,M,18-25,19283
1003740,P00080342,M,18-25,18966
1003763,P00157642,M,26-35,11502
1003789,P00105142,F,26-35,11689
1003792,P00349942,M,26-35,11674
1003811,P00274042,M,26-35,15273
1003841,P00046142,M,46-50,15585
1003874,P00346142,M,26-35,12128
1003892,P00080342,M,26-35,19273
1003910,P00147942,M,26-35,15554
1003917,P00147742,F,36-45,11786
1003953,P00002142,M,26-35,15499
1003962,P00221342,F,55+,15770
1003963,P00110942,M,51-55,15343
1003967,P00182342,F,18-25,11398
1004028,P00273742,M,26-35,8324
1004077,P00122442,F,36-45,11497
1004083,P00352142,M,55+,12081
1004085,P00347642,F,26-35,15753
1004089,P00347642,M,26-35,11814
1004116,P00208742,M,36-45,15412
1004158,P00262242,F,0-17,15806
1004215,P00145042,M,26-35,19071
1004227,P00042942,M,26-35,8048
1004277,P00063342,M,36-45,15193
1004291,P00355142,M,36-45,19507
1004344,P00356542,M,26-35,11419
1004353,P00352742,M,26-35,15455
1004401,P00173742,M,18-25,19662
1004407,P00046142,M,18-25,11830
1004411,P00241642,M,18-25,11869
1004418,P00358442,F,51-55,11530
1004445,P00110842,M,26-35,19597
1004448,P00001042,M,26-35,11926
1004482,P00359242,F,36-45,15331
1004508,P00274442,M,26-35,19051
1004532,P00145042,M,26-35,15412
1004543,P00115142,M,26-35,15584
1004557,P00248942,M,26-35,4209
1004567,P00057642,M,18-25,15222
1004578,P00177542,M,26-35,15834
1004591,P00155142,M,26-35,15597
1004592,P00112142,M,18-25,19412
1004611,P00130742,F,18-25,15436
1004643,P00182142,M,26-35,11674
1004655,P00192542,F,26-35,11711
1004663,P00349942,M,26-35,4115
1004667,P00304242,M,26-35,11502
1004671,P00339542,M,26-35,15224
1004675,P00080342,F,18-25,19083
1004678,P00332242,M,36-45,15170
1004693,P00115142,M,18-25,15232
1004725,P00338442,M,36-45,7856
1004742,P00054242,M,26-35,15426
1004750,P00114942,F,26-35,11901
1004783,P00105142,M,26-35,15905
1004784,P00352142,F,36-45,19292
1004789,P00303342,M,36-45,15916
1004791,P00057942,M,18-25,15693
1004800,P00120042,M,18-25,15792
1004841,P00070042,M,26-35,12064
1004867,P00161242,M,26-35,7840
1004879,P00111142,M,26-35,15722
1004928,P00339342,F,26-35,11552
1004934,P00105142,F,26-35,15612
1004960,P00016542,M,55+,7962
1004969,P00184042,M,18-25,19576
1004978,P00112142,M,36-45,15339
1004987,P00237542,F,55+,15541
1004996,P00346342,M,36-45,15820
1004997,P00251942,M,0-17,15471
1005046,P00226542,M,26-35,8096
1005070,P00114942,M,26-35,15570
1005077,P00350342,M,26-35,8237
1005120,P00177442,M,51-55,15421
1005122,P00057642,M,26-35,12062
1005164,P00070042,F,36-45,7884
1005255,P00121342,M,0-17,19352
1005261,P00346242,M,36-45,15515
1005271,P00208342,F,26-35,11467
1005272,P00127842,M,26-35,15881
1005281,P00121342,M,26-35,15342
1005312,P00346442,M,26-35,12070
1005316,P00242742,M,18-25,11477
1005317,P00347642,F,26-35,11619
1005327,P00105342,M,26-35,15388
1005333,P00339842,F,26-35,15738
1005347,P00057642,M,26-35,19295
1005350,P00110942,M,18-25,15715
1005361,P00217842,F,51-55,19619
1005364,P00113242,F,26-35,19345
1005367,P00105142,M,18-25,15293
1005369,P00317442,M,26-35,19433
1005371,P00334242,M,26-35,15387
1005373,P00198742,M,18-25,15755
1005378,P00289842,M,36-45,12010
1005394,P00113242,M,18-25,11921
1005412,P00338442,M,26-35,11696
1005448,P00234142,M,46-50,3913
1005450,P00114942,M,18-25,11971
1005452,P00112542,M,36-45,19358
1005458,P00120042,F,18-25,19354
1005460,P00110742,M,18-25,19326
1005468,P00173342,M,26-35,15625
1005475,P00288942,M,26-35,19455
1005482,P00273742,M,18-25,15704
1005491,P00070342,M,18-25,11688
1005501,P00105142,M,26-35,15713
1005502,P00346242,M,26-35,11487
1005543,P00118442,M,26-35,19306
1005556,P00046742,M,46-50,15348
1005584,P00288942,F,51-55,15162
1005585,P00182242,M,26-35,7950
1005597,P00122442,F,18-25,4086
1005599,P00267542,M,36-45,15444
1005605,P00304242,F,18-25,15752
1005612,P00221742,F,26-35,15407
1005621,P00127742,M,26-35,12083
1005657,P00122442,M,51-55,15711
1005675,P00145642,M,36-45,15315
1005684,P00111142,M,18-25,19546
1005720,P00111242,M,26-35,15183
1005730,P00182142,M,18-25,11842
1005744,P00280842,F,26-35,15870
1005754,P00025442,F,18-25,11520
1005759,P00243942,F,26-35,15803
1005771,P00320042,M,26-35,7712
1005779,P00025442,M,26-35,19189
1005788,P00112142,M,26-35,19298
1005794,P00320942,M,36-45,7804
1005802,P00304342,F,26-35,15416
1005886,P00019342,M,26-35,15780
1005931,P00032042,F,18-25,12082
1005955,P00237542,F,26-35,15880
1005961,P00036842,F,46-50,11794
1005963,P00304242,M,26-35,19581
1005997,P00334042,F,26-35,19115
1006008,P00120042,M,18-25,15553
1006019,P00105142,M,26-35,8061
1000020,P00006942,M,26-35,15590
1000070,P00338442,M,18-25,11786
1000201,P00036842,F,36-45,15197
1000274,P00105142,M,18-25,15391
1000325,P00267542,F,51-55,19098
1000392,P00184042,M,18-25,19556
1000408,P00269942,M,26-35,19166
1000427,P00351342,M,36-45,15574
1000484,P00251942,F,0-17,8010
1000495,P00103042,M,18-25,19423
1000498,P00184942,M,36-45,15850
1000499,P00035142,F,26-35,15574
1000517,P00137542,F,26-35,4485
1000572,P00355142,M,18-25,11750
1000577,P00215542,M,36-45,15349
1000725,P00177442,M,55+,19223
1000737,P00201442,M,0-17,15256
1000845,P00054242,F,18-25,15730
1001161,P00112142,M,26-35,11868
1001361,P00110942,F,26-35,19483
1001442,P00059642,M,18-25,12041
1001510,P00146742,F,26-35,11407
1002070,P00010742,F,36-45,19492
1002074,P00110942,M,18-25,19137
1002226,P00037142,F,26-35,11848
1002581,P00128942,M,26-35,18954
1002658,P00184942,M,26-35,19476
1002749,P00237542,M,26-35,19280
1002763,P00146742,F,18-25,4463
1002780,P00206442,M,26-35,7636
1002797,P00233942,F,26-35,11678
1002808,P00032042,M,55+,15283
1002843,P00046742,F,26-35,7713
1002849,P00113242,M,46-50,19054
1002882,P00173942,M,18-25,15230
1002891,P00334242,F,18-25,15804
1002906,P00266642,M,36-45,12108
1002937,P00070042,F,18-25,15573
1002971,P00010742,M,26-35,11655
1003000,P00127942,M,26-35,15832
1003037,P00334242,F,26-35,15552
1003145,P00057642,M,18-25,11565
1003154,P00114942,F,26-35,11999
1003161,P00110942,M,26-35,15714
1003178,P00237542,F,36-45,15901
1003197,P00080342,F,18-25,19444
1003267,P00145042,M,26-35,19429
1003277,P00233942,M,26-35,8228
1003288,P00112142,M,26-35,19422
1003335,P00110842,M,26-35,15312
1003489,P00112142,M,18-25,18974
1003790,P00271742,F,26-35,19041
1003851,P00347642,M,26-35,8100
1003909,P00249542,M,18-25,15274
1003912,P00346142,M,26-35,19673
1004223,P00110742,F,36-45,19627
1004225,P00184942,F,26-35,15335
1004281,P00359242,M,55+,11686
1004300,P00114942,F,18-25,15432
1004424,P00080342,M,26-35,15221
1004441,P00034042,M,18-25,7805
1004478,P00157642,M,0-17,15362
1004493,P00334242,F,0-17,7913
1004547,P00334242,M,18-25,11390
1004631,P00274442,M,18-25,15661
1004771,P00110842,F,26-35,7704
1004807,P00184442,M,0-17,19536
1005019,P0097242,M,26-35,11899
1005115,P00184942,M,55+,19357
1005191,P00237542,F,26-35,19372
1005210,P00044442,F,36-45,15353
1005257,P00346142,F,26-35,8123
1005285,P00229742,M,18-25,15790
1005300,P00112142,M,26-35,12039
1005302,P00338442,F,0-17,11813
1005471,P00112142,M,18-25,19493
1005474,P00145042,M,26-35,12056
1005499,P00054242,F,26-35,11538
1005506,P00242742,F,18-25,19152
1005509,P00112142,M,26-35,8146
1005677,P00147942,M,26-35,15432
1005775,P00113242,M,26-35,19019
1005821,P00057642,M,26-35,19183
1005896,P00206442,M,26-35,11550
1005984,P00127842,M,26-35,19578
1006028,P00223542,M,18-25,15502
1000034,P00110742,F,18-25,19322
1000043,P00255942,M,26-35,11575
1000079,P00194642,F,46-50,12004
1000228,P00046742,M,26-35,19324
1000354,P00355142,M,36-45,15708
1000390,P00059642,M,26-35,15729
1000423,P00289842,M,18-25,18979
1000464,P00147942,F,18-25,11759
1000473,P00351342,F,18-25,4475
1000829,P00113242,M,0-17,12025
1001156,P00157642,F,51-55,15610
1001213,P00090942,M,51-55,19687
1001255,P00318742,M,26-35,19632
1001435,P00222942,M,26-35,7942
1001500,P00351342,M,26-35,12013
1001836,P00046742,M,26-35,11724
1002171,P00113242,M,36-45,19572
1002319,P00138442,M,36-45,11665
1002438,P00243942,M,36-45,11669
1002741,P00044442,M,26-35,19022
1002885,P00334242,F,18-25,15750
1003016,P00105142,M,18-25,19701
1003094,P00249742,M,36-45,4117
1003448,P00184942,F,18-25,19107
1003862,P00242742,M,26-35,11662
1003933,P00110742,F,36-45,19077
1004434,P00121342,F,36-45,19432
1004471,P00025442,M,26-35,15441
1004590,P00110742,F,18-25,11601
1004780,P00121342,M,26-35,15580
1004911,P00070342,F,26-35,11645
1005032,P00110942,M,18-25,15258
1005526,P00182142,F,36-45,11548
1005551,P00006942,F,36-45,12091
1005750,P00025442,M,18-25,11790
1005941,P00114942,F,26-35,15627
1005946,P00080342,F,55+,8221
1006032,P00177442,M,46-50,19672
1000006,P00221442,F,51-55,19538
1000197,P00127242,M,18-25,8164
1000281,P00057642,F,36-45,19283
1000521,P00111242,M,55+,15561
1000645,P00113242,M,36-45,15846
1000972,P00010742,M,46-50,15210
1001102,P00080342,M,18-25,4282
1001238,P00251942,F,36-45,8066
1001355,P00090942,F,46-50,15642
1001559,P00114942,M,36-45,15390
1002475,P00209742,F,26-35,19399
1002486,P00162242,M,18-25,19289
1002653,P00113242,M,26-35,15373
1002674,P00288942,M,26-35,15200
1002754,P00241542,M,51-55,7950
1002813,P00117042,M,26-35,4548
1002856,P00057642,M,36-45,11575
1002988,P00248942,F,18-25,15610
1003135,P00248942,M,26-35,15274
1003214,P00173842,F,55+,12025
1004548,P00249542,M,18-25,8275
1004696,P00025442,M,18-25,19586
1004892,P00142142,M,26-35,11438
1004949,P00073842,M,18-25,11383
1005877,P00267342,M,18-25,12012
1005975,P00112142,M,26-35,15410
1000239,P00223542,M,18-25,19321
1000313,P00062842,F,18-25,11516
1000455,P00090942,F,36-45,15871
1000466,P00177442,M,26-35,18994
1000478,P00248942,M,51-55,19343
1000500,P00053342,F,18-25,19059
1000885,P00145042,M,36-45,15887
1001187,P00145042,F,0-17,12113
1001548,P00183442,M,36-45,15400
1002433,P00242742,M,26-35,11488
1002957,P00110942,M,18-25,19292
1002965,P00080342,F,36-45,15468
1003152,P00025442,M,18-25,15364
1003806,P00112542,M,18-25,15166
1003899,P00289842,M,26-35,11426
1004324,P00080342,M,26-35,19138
1004405,P00338542,M,26-35,15830
1004589,P00080342,M,26-35,19707
1005275,P00318742,M,26-35,19420
1005292,P00335442,M,26-35,3906
1005313,P00341342,M,55+,12011
1005346,P00184042,F,26-35,19703
1005789,P00113242,M,26-35,19708
1005893,P00288942,M,26-35,8071
1005898,P00182742,F,18-25,15670
1002341,P00105142,M,55+,15536
1002362,P00145042,M,26-35,11994
1002525,P00110742,F,36-45,11834
1003186,P00112142,M,51-55,4473
1003451,P00057642,F,26-35,11854
1004856,P00110942,M,26-35,11872
1005391,P00339342,M,26-35,15831
1005835,P00110742,F,36-45,15739
1000347,P00036842,F,55+,4465
1000483,P00242742,M,18-25,8283
1000589,P00128142,M,18-25,19541
1001348,P00110742,F,0-17,15190
1001394,P00006942,F,26-35,4548
1001929,P00244042,F,0-17,11378
1002314,P00255942,F,26-35,4489
1002960,P00082842,M,18-25,7986
1004076,P00002142,M,26-35,7841
1005119,P00110742,F,26-35,4533
1005241,P00125942,F,26-35,19520
1005288,P00334242,M,55+,8284
1005548,P00036842,F,18-25,7850
1000459,P00255942,F,18-25,12047
1000743,P00121342,F,0-17,15337
1001104,P00184942,M,36-45,19388
1001235,P00184942,F,26-35,11579
1001653,P00142942,M,18-25,12033
1002912,P00105142,F,18-25,15694
1003379,P00255942,M,36-45,15544
1003388,P00110842,F,26-35,19589
1005314,P00242742,F,26-35,11677
1005447,P00113142,M,46-50,8054
1001175,P00016342,F,26-35,19377
1001326,P00025442,F,26-35,15334
1001973,P00110842,M,26-35,19682
1003596,P00318742,F,36-45,19120
1004766,P00270542,M,36-45,11532
1005146,P00270542,M,55+,19437
1005681,P00268742,F,26-35,7943
1004165,P00173742,F,26-35,11492
1004860,P00025442,M,26-35,15903
1004988,P00110942,M,26-35,15810
1005055,P00112142,F,36-45,11681
1004530,P00046742,F,36-45,15671
1002709,P00233542,F,26-35,4204
1000018,P00112642,F,18-25,19473
1000036,P00127442,M,26-35,8066
1000039,P00351142,M,18-25,15319
1000053,P00130742,M,26-35,19251
1000058,P00110742,M,26-35,15824
1000092,P00014842,F,18-25,11449
1000136,P00233342,M,18-25,4304
1000140,P00062842,F,36-45,3843
1000147,P00184942,M,18-25,19474
1000169,P00128942,M,26-35,15419
1000175,P00112142,F,26-35,19442
1000187,P00002142,F,46-50,15560
1000192,P00208742,M,18-25,12001
1000199,P00130742,M,18-25,7706
1000216,P00045342,M,46-50,15893
1000223,P00145042,M,26-35,15851
1000235,P00173342,M,26-35,19648
1000236,P00112142,M,26-35,19133
1000238,P00114342,F,51-55,15524
1000245,P00112542,M,36-45,15172
1000259,P00046742,M,26-35,12044
1000301,P00237542,M,18-25,19705
1000302,P00243942,M,18-25,7751
1000309,P00110942,M,26-35,15773
1000321,P00113342,M,18-25,15460
1000331,P00113142,M,26-35,15849
1000343,P00221942,F,36-45,8316
1000346,P00201442,F,26-35,19284
1000355,P00010742,M,18-25,19488
1000362,P00114342,M,36-45,15160
1000371,P00113242,M,18-25,19636
1000377,P00111142,M,26-35,15590
1000397,P00044442,M,36-45,19484
1000401,P00112542,M,18-25,19226
1000409,P00147942,M,18-25,15348
1000453,P00229742,M,18-25,15443
1000457,P00046742,M,18-25,15178
1000461,P00136842,M,51-55,11762
1000474,P00112642,M,26-35,7649
1000476,P00112142,M,36-45,15314
1000490,P00142142,M,0-17,15849
1000508,P00221842,M,26-35,8019
1000531,P00103042,F,18-25,15745
1000540,P00352142,M,18-25,11471
1000556,P00233442,F,26-35,7641
1000584,P00110942,F,26-35,15670
1000588,P00110742,F,26-35,11971
1000609,P00025442,M,26-35,19091
1000610,P00114342,M,26-35,19403
1000619,P00110742,F,18-25,15176
1000624,P00057642,M,26-35,19561
1000651,P00228442,M,36-45,11389
1000662,P00063342,M,18-25,15707
1000669,P00191442,M,26-35,15530
1000706,P00341342,M,36-45,15229
1000712,P00304442,M,26-35,11713
1000713,P00277442,M,36-45,11957
1000714,P00262242,M,18-25,15737
1000720,P00223542,M,18-25,4036
1000721,P00182742,F,36-45,15237
1000732,P00054242,M,26-35,19529
1000744,P00111142,M,26-35,15161
1000746,P00015842,F,18-25,4523
1000749,P00110942,M,36-45,11472
1000765,P00233342,M,26-35,12048
1000777,P00249742,M,18-25,3994
1000780,P00057642,M,26-35,15556
1000791,P00147942,M,36-45,11782
1000792,P00062842,M,26-35,11907
1000802,P00208742,M,26-35,15636
1000814,P00270942,F,18-25,11794
1000817,P00177442,M,18-25,19126
1000851,P00242742,M,18-25,11881
1000853,P00112142,M,26-35,19073
1000854,P00102942,F,26-35,7625
1000858,P00105142,M,36-45,15797
1000897,P00046742,M,26-35,12106
1000904,P00105342,M,36-45,15345
1000912,P00223542,F,36-45,8167
1000921,P00182142,M,26-35,15337
1000999,P00110742,M,26-35,19618
1001000,P00293842,F,26-35,7967
1001004,P00025442,M,26-35,19017
1001017,P00237542,M,36-45,15814
1001027,P00184942,M,18-25,15484
1001029,P00251942,M,26-35,11596
1001033,P00117042,M,26-35,19613
1001047,P00338442,M,18-25,3965
1001050,P00251942,M,26-35,11961
1001058,P00025442,M,26-35,19062
1001059,P00218442,F,26-35,8043
1001063,P00216142,M,36-45,19500
1001068,P00241542,F,18-25,15849
1001087,P00112542,M,26-35,19050
1001113,P00025442,M,18-25,15161
1001116,P00288942,M,26-35,18980
1001117,P00006942,M,18-25,15678
1001125,P00080342,F,18-25,15793
1001137,P00062842,M,18-25,11791
1001142,P00037142,M,18-25,7880
1001162,P00110742,F,36-45,15200
1001169,P00014842,M,26-35,7636
1001182,P00173842,M,0-17,4402
1001183,P00147942,M,36-45,11571
1001202,P00010742,M,36-45,12083
1001204,P00338442,M,26-35,8119
1001221,P00233542,M,18-25,19232
1001224,P00057642,M,51-55,19535
1001230,P00025442,M,26-35,19049
1001241,P00184942,M,0-17,19345
1001248,P00182142,F,36-45,7950
1001260,P00277442,M,26-35,15290
1001263,P00240242,M,0-17,3844
1001272,P00110942,M,18-25,19379
1001287,P00114342,F,51-55,15509
1001298,P00113242,M,36-45,15629
1001299,P00184942,M,26-35,18987
1001306,P00307542,M,26-35,19160
1001327,P00213042,M,0-17,4084
1001329,P00073842,M,18-25,19609
1001343,P00270942,M,36-45,19481
1001354,P00063342,F,26-35,15789
1001356,P00117042,F,18-25,4489
1001362,P00010742,M,36-45,15631
1001372,P00046742,M,0-17,18980
1001374,P00248942,M,51-55,11772
1001386,P00110842,F,26-35,19182
1001393,P00242742,M,18-25,11408
1001422,P00046742,M,36-45,8056
1001425,P00129342,M,0-17,15430
1001426,P00184942,M,18-25,19559
1001444,P00334242,F,26-35,19010
1001451,P00035942,M,36-45,11680
1001458,P00025442,M,0-17,19300
